"name","unp","instrument_uuid","ticker","share_kind"
"ЗАО ""ВТОРОЙ НАЦИОНАЛЬНЫЙ ТЕЛЕКАНАЛ""","190334694","2d698a0f","T2836-S0001","common"
"ЗАО ""ВУЛКАН""","300200212","9d298d8d","T5642-S0001","common"
"ЗАО ""ВЫСТАВОЧНЫЙ ЦЕНТР ""АКВАБЕЛ"" Минский район","600438617","5d9b05ca","T5434-S0001","common"
"ЗАО ""Газотурбинные технологии""","192428381","936260c1","T5158-S0001","common"
"ЗАО ""Галилей""","192031624","539defd0","T4820-S0001","common"
"ЗАО""Гастроном Юбилейный""","400014986","c416f174","T5838-S0001","common"
"ЗАО ""ГДХЕМИКС""","101189928","687c8d86","T5993-S0001","common"
"ЗАО ""ГЕЛИОС ГАЗ""","590886221","a0b39ff4","T3760-S0001","common"
"ЗАО ""Гермес-сталь-проект""","191083139","f5f91426","T4323-S0001","common"
"ЗАО ""ГЗНМ""","491055878","b86dba04","T4517-S0001","common"
"ЗАО ""ГИДРОДИНАМИКА""","100025985","1e1044e9","T5079-S0001","common"
"ЗАО ""ГИДРОХИМНАСОСМОНТАЖ""","101449636","935e0d50","T5846-S0001","common"
"ЗАО ""ГИРСТВО""","100237712","216db64b","T5299-S0001","common"
"ЗАО ""ГИФОС""","100089767","e3da71ff","T5782-S0001","common"
"ЗАО ""Главный элемент""","690592759","f0756dea","T4889-S0001","common"
"ЗАО ""ГЛОБАЛВАНБЕЛ""","100997035","dee5e8da","T3692-S0001","common"
"ЗАО ""ГлобалЕвроГрупп""","192686801","a76553e0","T5753-S0001","common"
"ЗАО ""ГлубокоеБиоПродукт""","391000431","c86d7338","T2763-S0001","common"
